Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C10,C12,C3,C8",C0402,C1525,5
10k,"R1,R10,R13,R14,R15,R16,R17,R18,R2,R3,R4",R0603,C25804,11
10uF,"C11,C13,C2,C4,C5,C9",C0603,C96446,6
120nH 110mA 2.66Ω,L2,L0402,C113123,1
150k,"R12,R8,R9",R0603,C22807,3
1k,"R20,R21,R22,R7",R0603,C21190,4
2.2k,"R5,R6",R0603,C4190,2
2.2uH 2A 52mΩ,L1,IND-SMD_L4.0-W4.0,C96891,1
22uF,"C6,C7",C0805,C45783,2
33,R19,R0603,C23140,1
47pF,C14,C0603,C1671,1
680k,R11,R0603,C25822,1
CP2102-GMR,U3,WQFN-28_L5.0-W5.0-P0.50-BL-EP3.2,C6568,1
KT-0603R,"LED1,LED2,LED3,LED4,LED5",LED0603-RD,C2286,5
MICROQTJ,USB1,MICRO-USB-SMD_MICROQTJ-5P,C404968,1
MMDT3904,Q1,SOT-363_L2.0-W1.3-P0.65-LS2.1-BR,C41375125,1
SY8089AAAC,U5,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,C78988,1
TF-001B,SDCard1,TF-SMD_TF-001B,C125617,1
TP4054,U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,C32574,1
